spellKey,name,spellClass,spellLevel,sourceBook,sourcePage,reversible,reverseName,needsDetails,range,duration,effect,save,tags,manualNotes,pageVerified,reviewed,confidence,needsReview,suggestedSourcePage,suggestedRange,suggestedDuration,suggestedEffect,suggestedSave,suggestedTags,suggestedManualNotes,suggestedContextExcerpt
"cure-light-wounds","Cure Light Wounds","Cleric",1,"Basic","26",true,"Cause Light Wounds",true,"Touch","Permanent","Heals 2-7 hp or removes paralysis from one living creature.","none",["healing,paralysis,reversible"],"Heals light damage or paralysis; reverse causes 2-7 damage by touch.",true,true,1,true,"26","Touch","Permanent","Heals 2-7 hp or removes paralysis from one living creature.","none",["healing,paralysis,reversible"],"",""
"detect-magic","Detect Magic","Cleric",1,"Basic","26",false,"",true,"0","2 turns","Magical objects, creatures, and places within 60 ft glow.","none",["detection,magic"],"Caster sees magic within 60 ft glow for a short time.",true,true,1,true,"26","0","2 turns","Magical objects, creatures, and places within 60 ft glow.","none",["detection,magic"],"",""
"light","Light","Cleric",1,"Basic","26",true,"Darkness",true,"120 ft","12 turns","Creates light in a 30 ft diameter volume; can blind if cast at eyes.","negates blindness if targeted",["light,reversible"],"Creates torch-like light; reverse creates darkness.",true,true,1,true,"26","120 ft","12 turns","Creates light in a 30 ft diameter volume; can blind if cast at eyes.","negates blindness if targeted",["light,reversible"],"",""
"protection-from-evil","Protection from Evil","Cleric",1,"Basic","27",false,"",true,"0","12 turns","Caster gains protective barrier: attacks -1, saves +1; enchanted creatures blocked.","none",["protection"],"Protects caster from hostile attacks and blocks enchanted melee contact.",true,true,1,true,"27","0","12 turns","Caster gains protective barrier: attacks -1, saves +1; enchanted creatures blocked.","none",["protection"],"",""
"purify-food-and-water","Purify Food and Water","Cleric",1,"Basic","27",false,"",true,"10 ft","Permanent","Purifies spoiled/poisoned food or water; can settle mud into clear water.","none",["utility,purification"],"Makes food and water safe; does not affect living creatures.",true,true,1,true,"27","10 ft","Permanent","Purifies spoiled/poisoned food or water; can settle mud into clear water.","none",["utility,purification"],"",""
"remove-fear","Remove Fear","Cleric",1,"Basic","27",false,"",true,"Touch","2 turns","Calms one living creature and may end magical fear with a bonus save.","special",["fear,protection,reversible"],"Removes fear; reverse causes fear.",true,true,1,true,"27","Touch","2 turns","Calms one living creature and may end magical fear with a bonus save.","special",["fear,protection,reversible"],"",""
"resist-cold","Resist Cold","Cleric",1,"Basic","27",false,"",true,"0","6 turns","Creatures within 30 ft resist freezing; +2 saves vs cold and -1 damage per die.","none",["protection,cold"],"Party near caster resists cold and cold-based attacks.",true,true,1,true,"27","0","6 turns","Creatures within 30 ft resist freezing; +2 saves vs cold and -1 damage per die.","none",["protection,cold"],"",""
"bless","Bless","Cleric",2,"Basic","5",false,"",true,"60 ft","6 turns","Friendly creatures in 20 ft square gain +1 morale, hit, and damage before melee.","none / negates blight",["buff,morale,reversible"],"Bless buffs allies not yet in melee; reverse penalizes enemies.",true,true,1,true,"5","60 ft","6 turns","Friendly creatures in 20 ft square gain +1 morale, hit, and damage before melee.","none / negates blight",["buff,morale,reversible"],"",""
"find-traps","Find Traps","Cleric",2,"Basic","5",false,"",true,"0","2 turns","Traps within 30 ft glow blue when the cleric approaches.","none",["detection,traps"],"Reveals presence of traps, not type or removal method.",true,true,1,true,"5","0","2 turns","Traps within 30 ft glow blue when the cleric approaches.","none",["detection,traps"],"",""
"hold-person","Hold Person","Cleric",2,"Basic","5",false,"",true,"180 ft","9 turns","Paralyzes up to 4 humanoids; single target saves at -2.","spells negates",["paralysis,control,reversible"],"Paralyzes humanoids; reverse frees held persons.",true,true,1,true,"5","180 ft","9 turns","Paralyzes up to 4 humanoids; single target saves at -2.","spells negates",["paralysis,control,reversible"],"",""
"know-alignment","Know Alignment","Cleric",2,"Basic","5",false,"",true,"0","1 round","Reveals alignment of one creature, item, or area within 10 ft.","none",["detection,alignment,reversible"],"Identifies alignment; reverse masks with false alignment.",true,true,1,true,"5","0","1 round","Reveals alignment of one creature, item, or area within 10 ft.","none",["detection,alignment,reversible"],"",""
"silence-15-radius","Silence 15' Radius","Cleric",2,"Basic","6",false,"",true,"180 ft","12 turns","Creates 30 ft diameter silence; moving target may carry effect if save fails.","spells negates moving effect",["control,silence"],"Stops speech and spellcasting inside the silent area.",true,true,1,true,"6","180 ft","12 turns","Creates 30 ft diameter silence; moving target may carry effect if save fails.","spells negates moving effect",["control,silence"],"",""
"snake-charm","Snake Charm","Cleric",2,"Basic","6",false,"",true,"60 ft","2-5 rounds or 2-5 turns","Charms 1 HD of snakes per caster level; no save.","none",["animals,charm"],"Snakes sway harmlessly unless attacked; shorter duration in combat.",true,true,1,true,"6","60 ft","2-5 rounds or 2-5 turns","Charms 1 HD of snakes per caster level; no save.","none",["animals,charm"],"",""
"speak-with-animals","Speak with Animals","Cleric",2,"Basic","6",false,"",true,"0","6 turns","Caster speaks with one named animal type within 30 ft.","none",["communication,animals"],"Talks to a chosen animal type; reactions are usually favorable.",true,true,1,true,"6","0","6 turns","Caster speaks with one named animal type within 30 ft.","none",["communication,animals"],"",""
