spellClass,spellLevel,name,spellKey,sourceBook,sourcePage,range,duration,effect,save,tags,manualNotes,reviewed,pageVerified,suggestedSourcePage,suggestedRange,suggestedDuration,suggestedEffect,suggestedSave,suggestedTags,validationStatus,nextAction
Cleric,1,Cure Light Wounds,cure-light-wounds,Basic,26,Touch,Permanent,Heals 2-7 hp or removes paralysis from one living creature.,None,"healing,paralysis,reversible",Heals light damage or paralysis; reverse causes 2-7 damage by touch.,true,true,26,Touch,Permanent,Heals 2-7 hp or removes paralysis from one living creature.,None,"healing,paralysis,reversible",ready,Ready for validation
Cleric,1,Detect Magic,detect-magic,Basic,26,0,2 turns,"Magical objects, creatures, and places within 60 ft glow.",None,"detection,magic",Caster sees magic within 60 ft glow for a short time.,true,true,26,0,2 turns,"Magical objects, creatures, and places within 60 ft glow.",None,"detection,magic",ready,Ready for validation
Cleric,1,Light,light,Basic,26,120 ft,12 turns,Creates light in a 30 ft diameter volume; can blind if cast at eyes.,Negates blindness if targeted,"light,reversible",Creates torch-like light; reverse creates darkness.,true,true,26,120 ft,12 turns,Creates light in a 30 ft diameter volume; can blind if cast at eyes.,Negates blindness if targeted,"light,reversible",ready,Ready for validation
Cleric,1,Protection from Evil,protection-from-evil,Basic,27,0,12 turns,"Caster gains protective barrier: attacks -1, saves +1; enchanted creatures blocked.",None,protection,Protects caster from hostile attacks and blocks enchanted melee contact.,true,true,27,0,12 turns,"Caster gains protective barrier: attacks -1, saves +1; enchanted creatures blocked.",None,protection,ready,Ready for validation
Cleric,1,Purify Food and Water,purify-food-and-water,Basic,27,10 ft,Permanent,Purifies spoiled/poisoned food or water; can settle mud into clear water.,None,"utility,purification",Makes food and water safe; does not affect living creatures.,true,true,27,10 ft,Permanent,Purifies spoiled/poisoned food or water; can settle mud into clear water.,None,"utility,purification",ready,Ready for validation
Cleric,1,Remove Fear,remove-fear,Basic,27,Touch,2 turns,Calms one living creature and may end magical fear with a bonus save.,Special,"fear,protection,reversible",Removes fear; reverse causes fear.,true,true,27,Touch,2 turns,Calms one living creature and may end magical fear with a bonus save.,Special,"fear,protection,reversible",ready,Ready for validation
Cleric,1,Resist Cold,resist-cold,Basic,27,0,6 turns,Creatures within 30 ft resist freezing; +2 saves vs cold and -1 damage per die.,None,"protection,cold",Party near caster resists cold and cold-based attacks.,true,true,27,0,6 turns,Creatures within 30 ft resist freezing; +2 saves vs cold and -1 damage per die.,None,"protection,cold",ready,Ready for validation
Cleric,2,Bless,bless,Basic,5,60 ft,6 turns,"Friendly creatures in 20 ft square gain +1 morale, hit, and damage before melee.",None / negates blight,"buff,morale,reversible",Bless buffs allies not yet in melee; reverse penalizes enemies.,true,true,5,60 ft,6 turns,"Friendly creatures in 20 ft square gain +1 morale, hit, and damage before melee.",None / negates blight,"buff,morale,reversible",ready,Ready for validation
Cleric,2,Find Traps,find-traps,Basic,5,0,2 turns,Traps within 30 ft glow blue when the cleric approaches.,None,"detection,traps","Reveals presence of traps, not type or removal method.",true,true,5,0,2 turns,Traps within 30 ft glow blue when the cleric approaches.,None,"detection,traps",ready,Ready for validation
Cleric,2,Hold Person,hold-person,Basic,5,180 ft,9 turns,Paralyzes up to 4 humanoids; single target saves at -2.,Spells negates,"paralysis,control,reversible",Paralyzes humanoids; reverse frees held persons.,true,true,5,180 ft,9 turns,Paralyzes up to 4 humanoids; single target saves at -2.,Spells negates,"paralysis,control,reversible",ready,Ready for validation
